epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3346.52,1.73968,0.92258,0.00758,0.86225,0.76915,0.8527,0.48979,1.68994,0.78517,0.0067,0.00121591,0.00121591,0.00121591
43,3424.69,1.71646,0.91483,0.00785,0.8902,0.76239,0.85052,0.47175,1.76555,0.79216,0.00706,0.00120491,0.00120491,0.00120491
44,3501.98,1.75147,0.91662,0.00765,0.85875,0.78999,0.87729,0.46147,1.69121,0.77729,0.0068,0.00119391,0.00119391,0.00119391
45,3580.14,1.71773,0.90205,0.00775,0.83489,0.80506,0.86383,0.46977,1.69884,0.79741,0.00651,0.0011829,0.0011829,0.0011829
46,3657.59,1.70433,0.89389,0.00746,0.81428,0.80104,0.86811,0.46155,1.74933,0.78145,0.00698,0.0011719,0.0011719,0.0011719
47,3735.46,1.70373,0.86969,0.00765,0.88029,0.75526,0.86535,0.48077,1.68032,0.82112,0.00664,0.0011609,0.0011609,0.0011609
48,3813.56,1.69216,0.8379,0.00738,0.91322,0.73937,0.86458,0.45281,1.84871,0.77957,0.00723,0.0011499,0.0011499,0.0011499
49,3891.36,1.71961,0.88211,0.00766,0.82358,0.8214,0.8759,0.48585,1.70261,0.76645,0.00669,0.00113889,0.00113889,0.00113889
50,3968.73,1.68443,0.85456,0.0074,0.9245,0.76209,0.88966,0.5031,1.65829,0.74722,0.00667,0.00112789,0.00112789,0.00112789
51,4046.62,1.69286,0.85425,0.00723,0.8893,0.74546,0.84923,0.47291,1.68773,0.80339,0.00686,0.00111689,0.00111689,0.00111689
52,4123.71,1.68346,0.84228,0.00754,0.83857,0.77874,0.86145,0.48251,1.70123,0.7672,0.00668,0.00110589,0.00110589,0.00110589
53,4201.8,1.64882,0.83604,0.00716,0.88902,0.79294,0.8749,0.49953,1.66543,0.77563,0.00669,0.00109489,0.00109489,0.00109489
54,4279.52,1.6204,0.79202,0.00705,0.9021,0.80919,0.88168,0.49382,1.67211,0.74125,0.0067,0.00108388,0.00108388,0.00108388
55,4357.53,1.66235,0.83504,0.00709,0.86583,0.81221,0.89522,0.48851,1.64376,0.74944,0.00648,0.00107288,0.00107288,0.00107288
56,4435.15,1.68094,0.8447,0.0073,0.91855,0.77746,0.89892,0.4973,1.64975,0.74473,0.0065,0.00106188,0.00106188,0.00106188
57,4513.18,1.66335,0.832,0.00719,0.89042,0.81513,0.90111,0.50462,1.63352,0.71543,0.00657,0.00105088,0.00105088,0.00105088
58,4590.58,1.62163,0.79337,0.00711,0.95325,0.77332,0.90957,0.49291,1.73646,0.70092,0.00693,0.00103987,0.00103987,0.00103987
59,4669.18,1.62682,0.78949,0.00709,0.93001,0.7708,0.87415,0.49062,1.69033,0.78745,0.00671,0.00102887,0.00102887,0.00102887
60,4747.12,1.61468,0.79027,0.00707,0.87612,0.80653,0.88633,0.50154,1.65374,0.70337,0.00665,0.00101787,0.00101787,0.00101787
61,4825.25,1.64524,0.79003,0.00721,0.90975,0.84599,0.91522,0.50081,1.69839,0.65065,0.00681,0.00100687,0.00100687,0.00100687
62,4903.08,1.63924,0.79284,0.00712,0.86805,0.7792,0.86442,0.49605,1.67614,0.76378,0.00676,0.000995866,0.000995866,0.000995866
63,4981.06,1.60147,0.78213,0.00684,0.89148,0.7761,0.89201,0.49852,1.70042,0.71659,0.00671,0.000984864,0.000984864,0.000984864
64,5058.75,1.60524,0.77681,0.00703,0.93837,0.77816,0.88654,0.49527,1.70404,0.69708,0.00668,0.000973861,0.000973861,0.000973861
65,5136.49,1.57428,0.7606,0.00677,0.90469,0.77332,0.88497,0.52082,1.63101,0.69982,0.00657,0.000962859,0.000962859,0.000962859
66,5214.28,1.5924,0.77117,0.00695,0.89758,0.76585,0.87326,0.51494,1.65752,0.71704,0.00644,0.000951857,0.000951857,0.000951857
67,5292.2,1.57124,0.75573,0.00671,0.91191,0.81369,0.89687,0.51084,1.66969,0.68799,0.00655,0.000940855,0.000940855,0.000940855
68,5369.86,1.57989,0.75093,0.00693,0.92722,0.76777,0.88546,0.51106,1.645,0.67338,0.00645,0.000929853,0.000929853,0.000929853
69,5447.07,1.57965,0.75074,0.00699,0.90172,0.79344,0.87986,0.5169,1.65527,0.67037,0.00657,0.00091885,0.00091885,0.00091885
70,5525.84,1.57628,0.74494,0.0067,0.86179,0.85978,0.89864,0.52587,1.64794,0.62776,0.00652,0.000907848,0.000907848,0.000907848
71,5603.22,1.56746,0.74392,0.00662,0.91579,0.80653,0.89767,0.51174,1.66844,0.69322,0.00661,0.000896846,0.000896846,0.000896846
72,5680.91,1.55685,0.73082,0.00681,0.90879,0.78863,0.89285,0.51211,1.66092,0.66664,0.00666,0.000885844,0.000885844,0.000885844
73,5758.8,1.54997,0.74155,0.00661,0.81546,0.80832,0.86048,0.4949,1.66821,0.72056,0.00659,0.000874842,0.000874842,0.000874842
74,5836.26,1.55295,0.73662,0.00658,0.92508,0.81122,0.8952,0.51592,1.66076,0.67525,0.00657,0.000863839,0.000863839,0.000863839
75,5914.85,1.52709,0.69784,0.00642,0.88323,0.75572,0.86598,0.50515,1.66239,0.69985,0.00653,0.000852837,0.000852837,0.000852837
76,5992.84,1.53054,0.69676,0.00659,0.92583,0.80098,0.88144,0.52221,1.60385,0.70316,0.00628,0.000841835,0.000841835,0.000841835
77,6070.77,1.52365,0.69745,0.00646,0.86078,0.80808,0.88492,0.50769,1.64166,0.74238,0.00641,0.000830833,0.000830833,0.000830833
78,6149.02,1.53323,0.71207,0.00653,0.88364,0.80278,0.88231,0.49374,1.73866,0.70782,0.00671,0.000819831,0.000819831,0.000819831
79,6226.77,1.50468,0.70107,0.00642,0.90098,0.78506,0.88725,0.51012,1.63354,0.70813,0.00631,0.000808828,0.000808828,0.000808828
80,6304.23,1.50548,0.69952,0.00642,0.87058,0.80699,0.87703,0.51315,1.66753,0.7045,0.00637,0.000797826,0.000797826,0.000797826
81,6381.57,1.49385,0.67302,0.00654,0.90281,0.7857,0.87361,0.51206,1.65324,0.72969,0.00657,0.000786824,0.000786824,0.000786824
82,6460.22,1.51162,0.68564,0.00649,0.90005,0.82969,0.90177,0.51987,1.59189,0.71436,0.00617,0.000775822,0.000775822,0.000775822
83,6538.24,1.48582,0.67471,0.00634,0.90683,0.81175,0.8867,0.5159,1.6314,0.67979,0.00643,0.00076482,0.00076482,0.00076482
84,6615.74,1.47607,0.67952,0.00619,0.87902,0.80149,0.8824,0.5041,1.63848,0.68822,0.00633,0.000753817,0.000753817,0.000753817
85,6693.08,1.502,0.69303,0.00638,0.93282,0.8038,0.89894,0.52978,1.63156,0.6735,0.00633,0.000742815,0.000742815,0.000742815
86,6771.63,1.47236,0.66219,0.0061,0.90146,0.81203,0.90479,0.53168,1.57828,0.65666,0.00624,0.000731813,0.000731813,0.000731813
