epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1257.64,1.06557,0.5531,0.00464,0.8973,0.74971,0.87609,0.66866,1.06824,0.47851,0.00529,0.00091175,0.00091175,0.00091175
43,1286.98,1.06733,0.54119,0.0046,0.82307,0.80967,0.87811,0.66535,1.06129,0.48879,0.00532,0.0009035,0.0009035,0.0009035
44,1316.35,1.07414,0.5429,0.00472,0.8808,0.83676,0.89883,0.6794,1.10564,0.48564,0.00553,0.00089525,0.00089525,0.00089525
45,1345.55,1.06794,0.52837,0.00458,0.83161,0.90323,0.90466,0.68477,1.04113,0.44253,0.0052,0.000887,0.000887,0.000887
46,1375.39,1.04451,0.5283,0.00435,0.8037,0.85262,0.87881,0.66916,1.06826,0.47137,0.00532,0.00087875,0.00087875,0.00087875
47,1404.92,1.03967,0.52217,0.00438,0.83509,0.82229,0.88174,0.68592,1.03736,0.48335,0.00514,0.0008705,0.0008705,0.0008705
48,1433.93,1.05435,0.5147,0.00444,0.89556,0.82508,0.88939,0.66713,1.06958,0.47279,0.00531,0.00086225,0.00086225,0.00086225
49,1463.32,1.04503,0.51572,0.00444,0.82827,0.86526,0.91026,0.70722,1.04041,0.46754,0.00515,0.000854,0.000854,0.000854
50,1492.48,1.06192,0.51279,0.00454,0.8503,0.81064,0.83874,0.64386,1.06612,0.48289,0.00536,0.00084575,0.00084575,0.00084575
51,1521.87,1.0373,0.50353,0.0045,0.85111,0.84028,0.88748,0.69175,1.03125,0.46963,0.00514,0.0008375,0.0008375,0.0008375
52,1551.51,1.0441,0.51373,0.00447,0.87479,0.80683,0.88837,0.67966,1.07855,0.49032,0.0055,0.00082925,0.00082925,0.00082925
53,1581.44,1.02182,0.49831,0.00438,0.89009,0.84569,0.87925,0.65885,1.04937,0.46635,0.00533,0.000821,0.000821,0.000821
54,1611.53,1.05754,0.5055,0.00452,0.90418,0.81114,0.88127,0.68016,1.04511,0.46864,0.00514,0.00081275,0.00081275,0.00081275
55,1641.13,1.03395,0.49318,0.00441,0.89828,0.82216,0.88001,0.66875,1.05552,0.47598,0.00525,0.0008045,0.0008045,0.0008045
56,1670.26,1.00997,0.50576,0.00429,0.89451,0.81272,0.88586,0.67464,1.03682,0.50257,0.00515,0.00079625,0.00079625,0.00079625
57,1699.32,1.0128,0.51411,0.00425,0.90561,0.79905,0.91301,0.702,1.05705,0.46172,0.00526,0.000788,0.000788,0.000788
58,1728.47,1.02644,0.49099,0.00431,0.90908,0.79901,0.88722,0.68343,1.0463,0.46241,0.00521,0.00077975,0.00077975,0.00077975
59,1757.47,1.01466,0.49843,0.00432,0.86855,0.83703,0.9005,0.69182,1.03923,0.45865,0.00515,0.0007715,0.0007715,0.0007715
60,1787.28,1.01893,0.47556,0.00428,0.90118,0.78803,0.90538,0.68782,1.05903,0.46762,0.00527,0.00076325,0.00076325,0.00076325
61,1818.21,1.01942,0.46646,0.00423,0.86586,0.85063,0.89549,0.68428,1.06041,0.45795,0.00535,0.000755,0.000755,0.000755
62,1848.93,1.02725,0.47688,0.00434,0.89637,0.80644,0.89257,0.68466,1.05289,0.4664,0.00526,0.00074675,0.00074675,0.00074675
63,1879.2,1.01448,0.47051,0.00423,0.88123,0.81565,0.89152,0.69399,1.03533,0.44412,0.00513,0.0007385,0.0007385,0.0007385
64,1910.26,1.00821,0.46543,0.0043,0.89117,0.79231,0.88821,0.69241,1.04779,0.44324,0.00527,0.00073025,0.00073025,0.00073025
65,1940.15,0.99569,0.45541,0.00408,0.8426,0.81532,0.90641,0.68823,1.0506,0.44851,0.00527,0.000722,0.000722,0.000722
66,1969.46,1.00564,0.47536,0.00422,0.92197,0.82316,0.88733,0.66707,1.0697,0.44962,0.00535,0.00071375,0.00071375,0.00071375
67,1999.83,1.00219,0.47043,0.00429,0.92921,0.82731,0.88281,0.68459,1.0419,0.44087,0.00515,0.0007055,0.0007055,0.0007055
68,2029.2,1.01086,0.45974,0.00427,0.86444,0.8801,0.90179,0.70368,1.04034,0.45504,0.00513,0.00069725,0.00069725,0.00069725
69,2058.46,0.98932,0.4546,0.00413,0.91241,0.82284,0.90614,0.69142,1.04958,0.47012,0.00522,0.000689,0.000689,0.000689
70,2087.42,0.99948,0.44941,0.00416,0.78282,0.85457,0.84972,0.64923,1.06808,0.45918,0.00531,0.00068075,0.00068075,0.00068075
71,2116.54,1.00066,0.45598,0.00431,0.87846,0.86156,0.89739,0.67618,1.05588,0.45526,0.00528,0.0006725,0.0006725,0.0006725
72,2145.86,0.99899,0.44618,0.00418,0.88857,0.86445,0.91111,0.68968,1.05559,0.46806,0.0052,0.00066425,0.00066425,0.00066425
73,2174.99,1.01224,0.45737,0.00422,0.91271,0.83046,0.89413,0.68252,1.04549,0.45121,0.00515,0.000656,0.000656,0.000656
74,2203.54,0.99339,0.45555,0.00413,0.84733,0.8345,0.86713,0.66593,1.04417,0.45738,0.00522,0.00064775,0.00064775,0.00064775
75,2232.16,0.97534,0.45265,0.00415,0.79081,0.8547,0.85172,0.65333,1.06654,0.47038,0.00533,0.0006395,0.0006395,0.0006395
76,2259.98,0.97866,0.45455,0.00414,0.84717,0.76856,0.85307,0.66414,1.05534,0.49832,0.00525,0.00063125,0.00063125,0.00063125
77,2287.91,0.98036,0.45388,0.00408,0.7706,0.8658,0.86474,0.65415,1.04322,0.45669,0.0052,0.000623,0.000623,0.000623
78,2315.73,0.9854,0.44194,0.00398,0.90674,0.81187,0.88313,0.65435,1.05139,0.458,0.0053,0.00061475,0.00061475,0.00061475
79,2343.74,0.9725,0.44043,0.00399,0.85573,0.74923,0.85781,0.65423,1.04552,0.4545,0.0052,0.0006065,0.0006065,0.0006065
80,2371.56,0.97091,0.44489,0.00397,0.86022,0.8568,0.88059,0.68866,1.03509,0.45665,0.00513,0.00059825,0.00059825,0.00059825
81,2398.77,0.99457,0.43883,0.00411,0.9153,0.83243,0.89125,0.69206,1.05085,0.44694,0.00522,0.00059,0.00059,0.00059
82,2424.75,0.97364,0.44171,0.00398,0.90399,0.81002,0.88102,0.66837,1.0514,0.44899,0.00522,0.00058175,0.00058175,0.00058175
83,2452.1,0.96328,0.43789,0.00396,0.80385,0.8443,0.88256,0.68806,1.04179,0.46121,0.00511,0.0005735,0.0005735,0.0005735
84,2481.29,0.97569,0.43699,0.00397,0.89982,0.84061,0.88259,0.68244,1.02428,0.4544,0.00506,0.00056525,0.00056525,0.00056525
85,2510.6,0.97813,0.44589,0.00396,0.93131,0.80911,0.89686,0.66472,1.04295,0.46395,0.00523,0.000557,0.000557,0.000557
86,2540.32,0.96832,0.43978,0.00398,0.83592,0.84311,0.88098,0.6558,1.02604,0.46243,0.0051,0.00054875,0.00054875,0.00054875
87,2569.5,0.95303,0.42165,0.00392,0.88893,0.82785,0.90417,0.68246,1.02345,0.45981,0.00512,0.0005405,0.0005405,0.0005405
88,2598.08,0.94979,0.43895,0.00402,0.75605,0.85489,0.89141,0.68392,1.04216,0.46395,0.00518,0.00053225,0.00053225,0.00053225
89,2625.58,0.94674,0.41691,0.00395,0.8318,0.80173,0.88119,0.69286,1.02865,0.46485,0.00508,0.000524,0.000524,0.000524
90,2654.69,0.95143,0.42851,0.0039,0.88686,0.83078,0.90059,0.69982,1.04397,0.45208,0.00522,0.00051575,0.00051575,0.00051575
91,2683.95,0.94029,0.41275,0.00389,0.88415,0.84167,0.9133,0.72452,1.03374,0.4534,0.00512,0.0005075,0.0005075,0.0005075
92,2711.53,0.94794,0.42173,0.004,0.86472,0.84252,0.90299,0.70731,1.04284,0.46626,0.00517,0.00049925,0.00049925,0.00049925
93,2739.44,0.93251,0.40639,0.00378,0.90465,0.8283,0.89946,0.69447,1.04215,0.45896,0.00513,0.000491,0.000491,0.000491
94,2767.69,0.95206,0.41985,0.00398,0.90446,0.82374,0.89495,0.70835,1.03256,0.46913,0.00514,0.00048275,0.00048275,0.00048275
95,2795.3,0.93806,0.4061,0.0038,0.87463,0.8561,0.89903,0.70724,1.03032,0.44337,0.00509,0.0004745,0.0004745,0.0004745
96,2822.17,0.93563,0.42037,0.00375,0.88036,0.84151,0.89776,0.69383,1.03615,0.45597,0.00513,0.00046625,0.00046625,0.00046625
97,2850.3,0.92089,0.41357,0.00376,0.90496,0.8096,0.90252,0.70802,1.02593,0.45606,0.00508,0.000458,0.000458,0.000458
98,2880.54,0.95343,0.40867,0.00396,0.9039,0.82453,0.9145,0.71638,1.04699,0.46213,0.00521,0.00044975,0.00044975,0.00044975
99,2909.43,0.92923,0.40616,0.00378,0.8744,0.8467,0.9108,0.71536,1.0448,0.46362,0.00522,0.0004415,0.0004415,0.0004415
100,2937.35,0.92814,0.39662,0.00383,0.89345,0.82287,0.91636,0.73175,1.02915,0.45349,0.00511,0.00043325,0.00043325,0.00043325
101,2967.61,0.91265,0.41011,0.00374,0.89617,0.85148,0.91611,0.71389,1.04339,0.45408,0.00521,0.000425,0.000425,0.000425
102,2996.04,0.90999,0.38554,0.00374,0.91616,0.83134,0.91596,0.71378,1.04081,0.46372,0.00513,0.00041675,0.00041675,0.00041675
103,3023.65,0.91501,0.38707,0.0038,0.88541,0.8528,0.90282,0.70049,1.02935,0.44551,0.00508,0.0004085,0.0004085,0.0004085
104,3053.24,0.90277,0.38654,0.00372,0.90671,0.83017,0.92194,0.72306,1.03022,0.46095,0.00506,0.00040025,0.00040025,0.00040025
105,3082.37,0.91395,0.39114,0.00371,0.91974,0.8414,0.90163,0.69931,1.03263,0.44811,0.00506,0.000392,0.000392,0.000392
106,3111.02,0.90377,0.3973,0.00375,0.90245,0.8495,0.90398,0.70012,1.03348,0.45119,0.00514,0.00038375,0.00038375,0.00038375
