epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4053.07,0.93468,0.44097,0.00554,0.90431,0.94171,0.96984,0.78348,0.77575,0.32809,0.00513,0.0014588,0.0014588,0.0014588
43,4147.15,0.91896,0.44597,0.00536,0.92705,0.92462,0.96909,0.79326,0.74771,0.32122,0.00516,0.0014456,0.0014456,0.0014456
44,4242.65,0.9221,0.43642,0.00544,0.91914,0.92764,0.96398,0.77791,0.78021,0.33192,0.00514,0.0014324,0.0014324,0.0014324
45,4337.08,0.89982,0.45749,0.00521,0.91916,0.91419,0.9646,0.78643,0.74305,0.3395,0.00497,0.0014192,0.0014192,0.0014192
46,4431.73,0.91524,0.43936,0.0054,0.90842,0.93266,0.96761,0.79742,0.74428,0.31993,0.0049,0.001406,0.001406,0.001406
47,4526.61,0.90782,0.42775,0.00527,0.90333,0.92036,0.96464,0.79044,0.77157,0.34093,0.00509,0.0013928,0.0013928,0.0013928
48,4622.21,0.90233,0.42895,0.00525,0.9228,0.92507,0.97056,0.79485,0.75865,0.32531,0.00495,0.0013796,0.0013796,0.0013796
49,4718.02,0.91266,0.44076,0.00519,0.91986,0.91357,0.96846,0.78403,0.76448,0.34371,0.00511,0.0013664,0.0013664,0.0013664
50,4812.73,0.89548,0.42648,0.00512,0.88304,0.93331,0.9695,0.79399,0.75291,0.32959,0.00504,0.0013532,0.0013532,0.0013532
51,4909.72,0.88277,0.43171,0.00511,0.88839,0.93266,0.9697,0.78973,0.75575,0.33834,0.00494,0.00134,0.00134,0.00134
52,5004.27,0.89697,0.43326,0.00515,0.89508,0.94271,0.96972,0.79429,0.76079,0.32784,0.00522,0.0013268,0.0013268,0.0013268
53,5098.77,0.8891,0.41843,0.00511,0.91872,0.92161,0.96864,0.79274,0.75217,0.3307,0.00503,0.0013136,0.0013136,0.0013136
54,5194.11,0.87841,0.41146,0.00514,0.90999,0.93065,0.97196,0.7957,0.74796,0.32624,0.0051,0.0013004,0.0013004,0.0013004
55,5288.73,0.87447,0.40399,0.0049,0.92343,0.92117,0.97164,0.79987,0.7345,0.32913,0.00487,0.0012872,0.0012872,0.0012872
56,5384.51,0.89675,0.42368,0.00512,0.9149,0.94002,0.97002,0.79572,0.7475,0.32894,0.00502,0.001274,0.001274,0.001274
57,5480.18,0.87584,0.40833,0.00503,0.91276,0.9407,0.97069,0.80106,0.73342,0.30819,0.0048,0.0012608,0.0012608,0.0012608
58,5576.69,0.85641,0.40224,0.00493,0.91791,0.92146,0.96961,0.79197,0.73812,0.33667,0.00489,0.0012476,0.0012476,0.0012476
59,5671.83,0.85829,0.39507,0.00507,0.92128,0.92921,0.97405,0.79131,0.75757,0.32059,0.00523,0.0012344,0.0012344,0.0012344
60,5767.33,0.87904,0.39889,0.00507,0.92456,0.9206,0.97312,0.79631,0.74161,0.31299,0.00493,0.0012212,0.0012212,0.0012212
61,5862.48,0.8728,0.39799,0.005,0.92362,0.9196,0.97117,0.8035,0.725,0.31268,0.00489,0.001208,0.001208,0.001208
62,5957.22,0.88732,0.41593,0.00506,0.92204,0.93906,0.97455,0.80094,0.73748,0.31062,0.00492,0.0011948,0.0011948,0.0011948
63,6053.02,0.85681,0.38754,0.00479,0.93915,0.91519,0.97038,0.80354,0.7232,0.31517,0.00474,0.0011816,0.0011816,0.0011816
64,6146.05,0.84789,0.38964,0.00468,0.928,0.91973,0.97416,0.80947,0.72303,0.3013,0.00474,0.0011684,0.0011684,0.0011684
